"BATCH","Eff1","Eff2","Eff3","SE1","SE2","SE3","VAR11","VAR12","VAR13","VAR21","VAR22","VAR23","VAR31","VAR32","VAR33"
1,-1.9751272339527,-2.35334366320274,-2.66675787860752,0.194096763578763,0.188135498543239,0.356933751561405,0.0376735536317502,0.0171185187925342,0.0538838572026216,0.0171185187925342,0.0353949658121131,0.00727024615833194,0.0538838572026216,0.00727024615833194,0.127401703003699
2,-3.23472037111307,-2.06814587726514,-2.31075158453091,0.907670522107943,0.169342802018039,0.166968532367261,0.823865776703707,0.0157871314523234,0.0536189308836474,0.0157871314523234,0.0286769845953209,0.0228335248593503,0.0536189308836474,0.0228335248593503,0.0278784908008772
3,-0.0835840867684637,-4.50085996576667,-1.94687249489756,1.421922852717,1.33300603239761,0.437801450617911,2.02186459907885,-1.58186310023359,0.522151178184976,-1.58186310023359,1.77690508240842,-0.427271598064367,0.522151178184976,-0.427271598064367,0.191670110163147
4,-3.27386635538169,-2.46527501558528,-2.12199780592469,0.935417516571797,0.218149029704742,0.174791036417077,0.875005930309347,0.102467482030226,0.0728755582115436,0.102467482030226,0.0475889991611204,0.0309005372949599,0.0728755582115436,0.0309005372949599,0.0305519064117561
5,-2.53843799091879,-2.18205408898102,-1.98941196753618,0.44174275998602,0.151153633323865,0.152989875117942,0.195136666000066,0.0183985014143096,0.0242946106999996,0.0183985014143096,0.0228474208670055,0.0204463606051238,0.0242946106999996,0.0204463606051238,0.0234059018886036
6,-1.92146417538415,-1.54658936811108,-1.24640249214492,0.516252215550705,0.473411728620129,0.280571125861422,0.266516350061012,0.122661565660955,-0.0476129961125609,0.122661565660955,0.224118664795099,0.0228838434172437,-0.0476129961125609,0.0228838434172437,0.0787201566671461
7,-4.26535478847427,-2.79686699290971,-2.72343216571859,1.77237975346172,0.290706781393299,0.469719949678211,3.14132999048104,0.4165295181433,0.793905268051881,0.4165295181433,0.0845104327480511,0.125695964898922,0.793905268051881,0.125695964898922,0.220636831125701
8,-4.37742689542771,-2.32635959891622,-2.3825310137328,2.19699035641108,0.195379354380642,0.403339991377321,4.8267666261633,0.216935161150523,0.823124869562191,0.216935161150523,0.0381730921181966,0.0600236295665447,0.823124869562191,0.0600236295665447,0.162683148644257
9,-2.30350198448581,-1.6016716036235,-0.845232688816916,0.404016120970471,0.508839312597534,1.17449800671963,0.163229026004026,0.0142730779579721,0.135643376728093,0.0142730779579721,0.258917446044731,0.524070525680442,0.135643376728093,0.524070525680442,1.37944556778837
10,-1.78072560207695,-2.02162000990692,-1.84691023813025,0.177530626044812,0.161789738907545,0.160539551187249,0.0315171231838627,0.0200171788231686,0.0232758364150147,0.0200171788231686,0.0261759196157715,0.0222393870535086,0.0232758364150147,0.0222393870535086,0.0257729474954032
11,-0.0553261993819698,-2.45440550458864,-1.9245465124956,1.52081818292354,0.283698454090703,0.181059184273842,2.31288794551086,-0.334284191387987,0.117315541120669,-0.334284191387987,0.0804848128534547,0.00896522382654839,0.117315541120669,0.00896522382654839,0.0327824282099091
12,-2.19870758166645,-2.9414473230784,-2.29294627868311,0.38777134447596,0.25431903825917,0.36180488413507,0.150366615596693,0.000368297040819361,0.136374473398573,0.000368297040819361,0.0646781732210694,0.010362704007822,0.136374473398573,0.010362704007822,0.130902774183991
13,-3.05925232464372,-2.22417908593643,-2.74569349138012,0.467750619307652,0.227645937016735,0.382566091791427,0.218790641862692,-0.0156417123987424,0.150761295005913,-0.0156417123987424,0.0518226726402271,-0.0148376582955122,0.150761295005913,-0.0148376582955122,0.146356814588567
14,-1.94444955391073,-1.88375723369752,-2.22981966056428,0.262142111850645,0.22616049910588,0.174899710542282,0.0687184868055161,0.00272728769084564,0.0376783581220858,0.00272728769084564,0.0511485713558207,0.0205664337457371,0.0376783581220858,0.0205664337457371,0.0305899087477739
15,-1.77023748703432,-2.77528487874647,-2.30603230088493,0.369746626384441,0.556561712417912,0.333267789739718,0.136712567722675,0.122272942816528,0.0835584573835208,0.122272942816528,0.309760939729559,0.168059150444556,0.0835584573835208,0.168059150444556,0.111067419677997
