"alphaW","Original.Est_B001","Original.Est_B002","Original.Est_B003","Original.Est_B004","Original.Est_B005","Original.Est_B006","Original.Est_B007","Original.Est_B008","Original.Est_B009","Original.Est_B010","Original.Est_B011","Original.SE_B001","Original.SE_B002","Original.SE_B003","Original.SE_B004","Original.SE_B005","Original.SE_B006","Original.SE_B007","Original.SE_B008","Original.SE_B009","Original.SE_B010","Original.SE_B011"
0,-2.333947,-2.333947,-2.333947,-2.333947,-2.333947,-2.333947,-2.333947,-2.333947,-2.333947,-2.333947,-2.333947,0.3652781,0.3652781,0.3652781,0.3652781,0.3652781,0.3652781,0.3652781,0.3652781,0.3652781,0.3652781,0.3652781
0.01,-2.28390950480219,-2.28049868168942,-2.26903056027512,-2.47913946813867,-2.47864102713659,-2.69427309043301,-2.30726173189138,-2.52303724905876,-2.61878547080799,-2.34012191312921,-2.37357493621079,0.409766303395673,0.420789513899606,0.350849579370153,0.396492433857759,0.404705351335558,0.38420912664098,0.405931827099074,0.392071286923566,0.363983898962106,0.419125686691994,0.38827488795026
0.02,-2.64069444376614,-2.68390652776736,-2.73113032148119,-2.99226566233928,-2.23968510588591,-2.19495280196065,-1.66732486743195,-2.31446019262062,-2.60020318655165,-2.16407243695239,-2.32007396109116,0.35737551256279,0.302729632326448,0.288701247153968,0.323439129841308,0.396366486344553,0.409196298458931,0.454271059825773,0.393332423051161,0.420312540134275,0.458968008827879,0.390511694452577
0.03,-2.39955642934839,-2.69456350673559,-2.2894761515156,-1.59495607539389,-2.42584911538103,-2.77113554196,-2.46861054894581,-2.55775649883245,-1.47252169328932,-2.55786008941496,-2.27377900633942,0.424468547825518,0.387355961979083,0.402399139928409,0.479677598225946,0.384134082769236,0.402011083480328,0.426774064710271,0.377156093901587,0.463499169720912,0.377162930995907,0.393650936936924
0.04,-2.51180732850511,-1.9205113856664,-2.61188418234606,-2.60674458362463,-2.62316565466443,-2.61810438841477,-2.46518404517068,-2.61748283097988,-2.62939096880874,-2.57601655828646,-2.60946475915374,0.415383197630469,0.398619501677704,0.382948333122523,0.412313129620678,0.400234967426516,0.408877560145106,0.414061481049053,0.403325049337337,0.412413016624488,0.425181888424522,0.408168913356402
0.05,-2.16279480409468,-2.67929918911737,-2.44046004414709,-2.3983417772214,-2.5770695889682,-2.40222099600763,-2.43364199575301,-2.4905784592292,-2.36373923618274,-2.63270234614568,-2.26169750266874,0.403067961865594,0.413511323392045,0.387197258318677,0.362148266645986,0.395836939626573,0.368431880906327,0.398629089468803,0.403628400775699,0.414093005386223,0.387103072858183,0.414535340455174
0.06,-2.60433883294761,-2.48817094995273,-2.64917942558712,-2.59163068104523,-2.42565732691222,-2.65759931017154,-2.55565973492881,-2.60396428892938,-2.67078777150433,-2.59939021146523,-2.22582609656823,0.381561975468351,0.393033445945097,0.386924326217475,0.399327739873968,0.395263082723517,0.378565072389183,0.379027021754388,0.382489507033157,0.372162745726528,0.418631104820867,0.420347414302752
0.07,-2.64148740029545,-2.30915636798686,-2.64307494469162,-2.34081085422565,-2.2680415881224,-2.65304619868125,-2.27219704029076,-2.63285580715762,-2.36260675126088,-2.65060410398799,-2.27575094888859,0.395803767313019,0.41152817311788,0.394889812781847,0.407721221452367,0.407947830479213,0.394239137321571,0.406936971851309,0.399587067504825,0.414964617881839,0.394047636882047,0.40699711082732
0.08,-2.63019062643482,-2.28412738933164,-2.44954634584861,-2.55492995529779,-2.19908119886496,-2.31625846556226,-2.62950465148304,-2.55560116381616,-2.59776439087766,-2.2839083190832,-2.10285011499393,0.404019576262897,0.407314457076576,0.425012629476858,0.398222797100876,0.412061717808557,0.412804916378103,0.404031703300433,0.398200847979174,0.392606118415319,0.415792910752069,0.385822867168715
0.09,-2.2703779641374,-2.25465573959921,-2.25698625209674,-2.2353806690881,-2.25889913251749,-2.2556742238984,-2.54843073295881,-2.44367862432439,-2.25044486542139,-2.24879078909652,-2.24203000679703,0.41396660718579,0.415234075537945,0.414755331255486,0.417243706130905,0.415174258965472,0.416713277166088,0.397272850272447,0.402873523155864,0.414248828730296,0.417394886353544,0.416409667751809
0.1,-2.27590356601482,-2.46406599768061,-2.27267386427324,-2.2272001044158,-2.2274627345138,-2.21439447621314,-2.1400025241414,-2.22701774105508,-2.22670835707431,-2.35737963450963,-2.28526983457074,0.41314748693116,0.427803281464906,0.411585682327898,0.416484572225503,0.416467708036938,0.415887464442401,0.411124557280648,0.416473403851585,0.415784068351811,0.416149615397042,0.413500383231727
0.11,-2.29194495163173,-2.38549635836597,-2.31744010346392,-2.24791542544751,-2.38381089679124,-2.37433984942066,-2.33550974639202,-2.28451215903479,-2.26916961235716,-2.32728651300973,-1.93353496647678,0.411683461678373,0.401367482137059,0.402768431054867,0.388395131405068,0.391516152049378,0.416557088604345,0.413005547862026,0.410697464268485,0.402677983987289,0.393974519248458,0.404465297915698
0.12,-2.21025851350881,-2.23371974046519,-2.21573814048134,-2.23128931831534,-2.22296653097211,-2.20321436449986,-2.17340324208732,-2.32490382271253,-2.45825531660116,-2.269857022175,-2.30400399164921,0.414074770117977,0.412445331110846,0.413063613856926,0.415891438779821,0.411966482696495,0.413467162291998,0.409441773451026,0.402814164610782,0.405781056788072,0.417793068200426,0.401629431025654
