"alphaW","Original.Est_B001","Original.Est_B002","Original.Est_B003","Original.Est_B004","Original.Est_B005","Original.Est_B006","Original.Est_B007","Original.Est_B008","Original.Est_B009","Original.Est_B010","Original.Est_B011","Original.SE_B001","Original.SE_B002","Original.SE_B003","Original.SE_B004","Original.SE_B005","Original.SE_B006","Original.SE_B007","Original.SE_B008","Original.SE_B009","Original.SE_B010","Original.SE_B011"
0,-2.461953,-2.461953,-2.461953,-2.461953,-2.461953,-2.461953,-2.461953,-2.461953,-2.461953,-2.461953,-2.461953,0.4567892,0.4567892,0.4567892,0.4567892,0.4567892,0.4567892,0.4567892,0.4567892,0.4567892,0.4567892,0.4567892
0.01,-1.83440684950742,-1.4836757661965,-1.70132366704092,-1.86935471638701,-1.87096358134227,-1.73546088271529,-1.70582595321296,-2.4961900701538,-1.887446809028,-2.19753793344012,-1.85157409687219,0.488389761605098,0.392043336000271,0.388873903422557,0.390416407881188,0.46405264581665,0.388588729495665,0.425966394743466,0.475506551090461,0.431846344795614,0.40612520493452,0.416033863207801
0.02,-2.08936349598885,-2.20058407821892,-2.12307417686197,-1.85976222550539,-2.06066195078149,-2.07282406703691,-2.00807979077569,-2.08046182662794,-2.13867897906159,-2.13913040849772,-2.05911754494543,0.386945426431991,0.395217981033462,0.396432753730884,0.406897552060031,0.45606875724018,0.392170732770453,0.417078494987927,0.382347036573834,0.400312974907056,0.377443831702388,0.423613763860635
0.03,-2.20157671703144,-2.09550906689542,-2.00597583967827,-1.90209201123188,-2.37625128081036,-2.19031373167944,-2.11517801020827,-1.83699194130946,-2.09176518427339,-2.13541808531354,-2.26345312298499,0.380889529141704,0.38407102937079,0.420495131672682,0.41850331052622,0.425352849033094,0.384428458521179,0.375619277659737,0.37201786395093,0.388314381652441,0.423650480433318,0.372479246896063
0.04,-2.11010730828195,-2.09562932199615,-2.02202688324808,-2.01146974427257,-2.10204884520026,-1.9724909342194,-2.09988738355949,-2.07202278427438,-2.00747107014604,-2.10308458727755,-2.0906553983159,0.392477117433562,0.394222734078444,0.410321598635917,0.408886714884481,0.397594059157962,0.512571170389042,0.380808543359347,0.393939705961576,0.408498245133302,0.39201351387724,0.396341420919733
0.05,-1.76429448385567,-2.07197861895699,-2.60211777084569,-2.01421529196912,-1.98277640129763,-2.06232491869618,-2.12860528691254,-2.04374815012711,-2.00806201723756,-1.88238538566973,-2.00063855204901,0.459144425466083,0.40489260048938,0.60310496317112,0.403701506878262,0.394833388514837,0.380255448007841,0.373248317243513,0.403754195585777,0.396163270297127,0.410222620902252,0.398780204459103
0.06,-2.12919779725045,-2.23356978460605,-2.13291789620805,-2.13952947965043,-2.24980289581643,-2.13262691225587,-1.90085049217271,-2.1289773015094,-1.97063023493411,-2.09099631516261,-2.13000313454639,0.376500157388227,0.421305674777095,0.376142404541504,0.376331133327452,0.375226256440132,0.376733151229656,0.393613210408932,0.376489296960047,0.391576373719883,0.38751676213427,0.376546265160165
0.07,-1.80983636123645,-2.05533757830622,-2.0815521790433,-2.03339435272152,-2.07419801929705,-2.05003364938436,-2.10137332722152,-2.06697957870062,-1.79713497921472,-1.98542332242662,-1.92406091510872,0.414651634144547,0.375118197161016,0.390385648055056,0.421593355368661,0.387902688645108,0.390375244380125,0.378012524467862,0.383535657176931,0.418165284820062,0.406883965257671,0.376491043861837
0.08,-2.05576191517951,-2.10925916231663,-2.03808025348167,-2.10955803956592,-2.24371855611869,-2.12356723948837,-2.13026059526545,-1.88916837556324,-2.11871052600685,-2.21600053766818,-1.96562497144086,0.384364125231993,0.357175491638444,0.393317916503798,0.357159150587419,0.386226325052797,0.385408618323818,0.379007423443954,0.409660862813832,0.380222482002137,0.379363520317522,0.407153872566181
0.09,-2.11255085252429,-2.02882005499347,-2.00880096435198,-1.92780581546431,-2.05444809538693,-2.16334429397083,-2.00196411667515,-2.09530497253707,-2.0419691976561,-2.08532378547167,-2.05982333701566,0.372723047109903,0.369009160359085,0.385575281770196,0.429238024475707,0.386741097917493,0.371058745306207,0.391736607720456,0.383714457860402,0.382800850378804,0.3843602702819,0.389078185829092
